rating,date,content,visit_time,reservation,wait_time
5,2026년 7월 16일 목요일,항상 갈 때마다 기빨리지만 빵은 싸고 맛있어요,점심에 방문,,
4.5,2026년 7월 16일 목요일,빵이 너무 맛있어요!,점심에 방문,,
5,2026년 7월 16일 목요일,성심당 빵 사랑합니다,아침에 방문,예약 없이 이용,바로 입장
5,2026년 7월 15일 수요일,대전에 오면 반강제적으로 방문하는 성심당.하지만 양손 가득 빵을 담으면 카드한도가 줄어드는 만큼. 행복한 마음은 늘어납니다. 오늘은 그나마 사람이 많이 없어서 한바퀴 돌아보고 사고 싶은거 몇개 집어봅니다. 빵도 맛있지만 직원분들이 너무 친절하세요. 좋습니다. 잘먹었습니다. #내돈내산 #성심당본점 #성심당부띠크는다음에 #오늘의튀김소보로 #튀김소보로 #내돈내소보로 #잘먹었습니다 #내돈내빵 #대전 #성심당 #빵투어 #대전빵집,점심에 방문,예약 없이 이용,10분 이내
3,2026년 7월 15일 수요일,기다리는 시간이 너무 길어요~~,점심에 방문,예약 없이 이용,
5,2026년 7월 15일 수요일,프렌치망고 망고 맛있어요.,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 14일 화요일,갓나온 따끈따끈 고로케진심 존맛,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 13일 월요일,성심당 본점에서 쑥떡앙빵 참치고로게 단팥빵 골랐어요 오늘도 맛있게 잘 먹었어요 단팥빵에 팥이 도톰하게 꽉차고 달달해서 넘 맛있네요 참치고로게랑 쑥떡앙빵도 넘 맛있어요 또 방문할게요,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 13일 월요일,회전율 빠르고 빵도 가성비 좋아요! 맛있어요!!,저녁에 방문,예약 없이 이용,10분 이내
4.5,2026년 7월 13일 월요일,기다린 보람있어요 가성비짱에 맛도 있고 말차도 맛있네요,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 13일 월요일,이  더위 35도 가까운데도 성심당 본점 앞에 줄을 길게 늘어서들어갔슴 2층에서 망고 빙수먹고 다들 재밌게 수다 두시간 하다가 집갈때 다와 1층와 줄서니(10분정도 대기)바로 들어왔고 안에들어가면 원하는데로 이동해 빵을사면됨.대전역사 안 성심당역사를 보면 거기도 웬만한빵 다있다봤는데 여기 본점오니 대전역사에서 못본 새로운 빵들이 보이는건 몇개월사이로 빵종류가 바뀐건지싶음!주로있는 빵들 외 몇가지는 계속 새로운게 선보여지고가격은 2000.2800.3800.4500원 선에서 이뤄져 가성비는 유지되고직원들을 보니 밝음과 친절은 잘유지되는걸보면서많이 쉬는시간을 주고 식사도 잘나오며 직원을 많이 모집해쓴다는걸 동생이 얘기해주니 납득!!ㅎ몇개먹어보니 여전히 가성비대비 맛있고 훌륭함!!,점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 13일 월요일,내 사랑 성심당...영원하라...👀❣️,점심에 방문,,10분 이내
5,2026년 7월 12일 일요일,빵은 성심당🫶,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 12일 일요일,"직원분들 세상 친절하시고 임산부 프리패스로 빠르게 입장 + 5%할인까지 받아서 햅삐한 쇼핑입니다. 김치 찹쌀 주먹밥은 생각보다는 쏘쏘고 말차튀소가 쟌맛입니다,,! 우리들 공원 주차장 이용했고 성심당 본점이랑 케이크 부띠끄 두군데서 만원 이상 사서 각각 한시간씩 총 두시간 주차 적용 받았어요!",점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 12일 일요일,내사랑 샌드위치 정거장.루꼴라샌드위치는 그저 갓갓입니다.어떻게 이런맛이 존재하지 ㅠㅠ 계속 운영해주세요.동행자는 이탈리안샌드위치를 꼭꼭 사시네요. 그냥 다 맛잇어요.,점심에 방문,예약 없이 이용,바로 입장
4,2026년 7월 12일 일요일,북적였지만   나름 선방함,점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 12일 일요일,김치치즈찹쌀주먹밥은 실패했지만 ㅠㅠ 찹쌀주먹밥 처음먹었는데 맛있더라구요!! 오랜만에 성심당 방문이라 좋았어요!!,아침에 방문,예약 없이 이용,30분 이내
4.5,2026년 7월 12일 일요일,굿굿 !!!오픈런 대기해서 성공햇오요,아침에 방문,예약 없이 이용,2시간 이상
