별점,날짜,리뷰
3.0,2024.07.20.,한번 꼭 가보고싶었던 감자탕집.. 그치만 긴 웨이팅을 기다리면서까지 먹을만한 곳은 아니다. 그냥 무난하고 맛 괜찮은 감자탕이 먹고싶다면 괜찮을지도?
3.0,2024.07.16.,"소문은 익히 들어 알고 있었는데, 들깨가루가 너무 많이 들어간 음식을 불호하는터라 식당앞에서 두어번 발길을 돌렸었다. 
지인들의 추천으로 들어갔는데, ..."
3.0,2024.07.13.,생각보다는 평범....줄서서 먹고싶진않다
5.0,2024.07.03.,맛있당ㅎ
2.0,2024.07.01.,"감자탕 3인분 먹었습니다. 오후에 갔는데도 줄섰는데 줄 서서 먹을정도는 아닌거 같아요~
주차는 발렛이라 편리했습니다."
3.0,2024.06.18.,"줄 안서서 먹어서 다행이지 
몇 시간 기다려서 먹을 만한 맛은 절대 아님
순환은 되게 빠른데..."
3.0,2024.06.05.,"1인방문은 웨이팅 없이 먹을 수 있습니다
일단 양이 많았는데 12,000원이라는거 생각하면 딱 적당한거같고 맛은 우리집동네 감자탕이 더 맛있네요ㅎㅎ 친절은 바라지 않는게 맘편하고 내국인보다 외국인이 더 많아요"
3.0,2024.05.14.,"오전에 입장, 대기없이 들어감. 국물은 칼칼하기보단 기름기 많은 진한 느낌, 살코기는 많이 안붙어있었음. 맛은 적당히 먹기 괜찮은 감자탕인데 가격도 좀 있고 기다려서 먹을것 같지는 않다."
3.0,2024.05.12.,"고냥 쏘쏘합니다
수제비 맛잇어유"
3.0,2024.05.09.,깔끔한 국물맛에 수제비가 맛있어요!
5.0,2024.05.05.,"가성비 해장국
수제비 볶음밥 먹고싶을때 말고는 보통 해장국으로 먹음
낮에오면 항상 줄이 긴데 기다려서 먹을정도..는.. 아님/본인은 보통 밤..."
2.0,2024.04.28.,"웨이팅의 가치가 없는 평범한 감자탕

무엇보다 볶음밥은 완전 비추.
김가..."
4.0,2024.04.19.,친절하셧어요 그런데 감자탕에서 로션 스킨맛이 잠깐씩 나여 ㅠㅠ
4.0,2024.04.15.,맛은 일반 감자탕 다르지않아요 그렇지만 다먹었는데도 물리지않고 가볍게 먹은 느낌이 듭니다 웨이팅이 엄청 길면 굳이 안먹어도 됩니다. 근데 생각보다 웨이팅이 빨리 줄긴합니다. 코너도는쪽에서 내가 웨이팅을 할까말까 고민한다 하면 웨이팅 하세요
3.0,2024.03.31.,"맛이 없진 않았으나
또 그렇게 깊은 맛은 없다
감칠맛도 부족하고 감자탕이..."
5.0,2024.03.31.,"사장님이 친절하시고 너무 웃기세요!
음식도 맛있고 분위기 최고에요!
인기가 너무 많아서 줄 서서 먹어야합니다 ㅎㅎ"
5.0,2024.03.24.,"웨이팅은 평일 4시?~5시에 가면 없는것같구요
감자탕 국물이 깔끔하고 맛있어요!!
근데.전체적으로 위생적인 부분은 개선 하셔야 할것 같아요..."
1.0,2024.03.17.,"고기는 질기고 뼈에 붙어 고기 양도 별로 없고
기다릴 가치가 없다"
1.0,2024.03.05.,"앉기도 전에 주문 받고 30초쯤 고민하니까 빨리 하라고 짜증내기 시작
그릇은 휙휙 던져주고 고기는 휴..."
3.0,2024.02.26.,"맛이 있긴한데 이정도 웨이팅을 뚫고 먹을 만한 맛집인가..?싶은 의문점
볶음..."
3.0,2024.02.13.,"맛있는 감자탕이고, 집근처에 웨이팅 없었다면 자주 갔었을거 같은 맛
하지만 웨이팅, 인원수대로 주문하라는 직원, 불친절함, 시끄러움을 생각한다면 한번정도 방문하는걸로 충분할거 같다"
2.0,2024.02.04.,아침일찍 기사 줄안서서 먹었느넫 그렇게 막 맛있진 않은것 같아요
4.0,2023.12.22.,평범한데 친절하신 이모님들과 수제비 볶음밥이 다시 생각날거 같아요
4.0,2023.12.08.,"평범한 감자탕 
고기보다 뼈가 많은 부위를 받아서 아쉬웠습니다"
4.0,2023.12.07.,사실 맛은 다른 감자탕하고 비슷한데 찍어먹는 소스가 참 맛있어요! 그리고 큼지막한 오이와 고추도 반찬으로 주셔서 중간중간 먹기 좋아요!
3.0,2023.12.02.,"특별할 거 없는 감자탕 맛이에요
감자탕은 원래 맛있습니다..
직원분들은 불친절하지는 않은데 밥 먹고 있는데 바로 옆에서 쓰레기통 비우고 일어나지도 않았는데..."
5.0,2023.11.11.,"처음에 직원분의 불친절함 속 친절함이 느껴져서 첫인상은 읭..? 했지만 넘 맛있어욤
진짜 너무 맛있어서 소리 지를뻔...
감자탕 별로..."
5.0,2023.11.09.,"성시경이 추천해서 가봤는데 진짜 맛있고, 친절하고 좋습니다^^"
5.0,2023.11.07.,맛 무난하고 24시간 운영이라는 점에 5점을 주고 싶네요
